group,timepoint_week,cell_count_mean,cell_count_sd,mineralization_pct_mean,mineralization_pct_sd
titanium,0,20000,0,0,0
titanium,1,35000,7000,4.83,1.18
titanium,2,67000,13000,29.62,5.94
titanium,3,145000,30000,45.37,8.86
titanium,4,330000,70000,68.15,10.93
novel_IM,0,20000,0,0,0
novel_IM,1,70000,12000,12.47,2.51
novel_IM,2,130000,22000,52.83,9.12
novel_IM,3,470000,80000,76.21,8.94
novel_IM,4,870000,150000,93.58,6.87
petri_control,0,20000,0,0,0
petri_control,1,64000,11000,12.19,2.63
petri_control,2,127000,22000,50.47,9.38
petri_control,3,460000,80000,74.36,8.77
petri_control,4,880000,160000,91.23,7.91